name,volume,src_node,src_port,dst_node,dst_port
f-25,STM-4,139-方家庄电厂,12-N1SLQ4-1(SDH-1),223-灵州换流站,11-N1SLQ4-4(SDH-4)
f-24,STM-4,223-灵州换流站,8-N1SLQ4-4(SDH-4),139-方家庄电厂,7-N1SLQ4-1(SDH-1)
f-23,STM-16,221-冀官路,14-N3SL16-1(SDH-1),河北（华为）,13-SL16-1(SDH-1)
f-22,STM-16,河北（华为）,6-SL16-1(SDH-1),221-冀官路,13-N3SL16-1(SDH-1)
f-21,STM-64,26-豫洹安,7-N1SL64-1(SDH-1),221-冀官路,8-N4SL64-1(SDH-1)
f-20,STM-64,221-冀官路,7-N4SL64-1(SDH-1),26-豫洹安,12-N1SL64-1(SDH-1)
f-19,STM-64,221-冀官路,12-N4SL64-1(SDH-1),25-冀辛安,12-T2SL64-1(SDH-1)
f-18,STM-64,25-冀辛安,7-T2SL64-1(SDH-1),221-冀官路,11-N4SL64-1(SDH-1)
f-1,STM-16,501-上海庙换1,14-N4SLQ16-1(SDH-1),502-上海庙换2,8-N4SLQ16-1(SDH-1)
f-17,STM-16,国网中兴兰江2,12-SLQ16-2(SDH-2),216-兰江2（灵绍）,28-N4SLQ16-2(SDH-2)
f-15,STM-16,敦煌（西北华为）,7-SLQ16-1(SDH-1),104-敦煌变,30-N4SLQ16-1(SDH-1)
f-14,STM-1,42-白广路ZDH,14-N1SLQ1-3(SDH-3),NE10162,7-STM1-1(SDH-1)
f-13,STM-16,中兴S385,11-SL16-1(SDH-1),515-沂南换2(临沂换2),11-N4SLQ16-2(对接中兴S385备)
f-12,STM-16,中兴S385,6-SL16-1(SDH-1),515-沂南换2(临沂换2),8-N4SLQ16-2(对接中兴S385主)
f-11,STM-4,138-黎阳电厂,7-N1SLQ4-1(SDH-1),223-灵州换流站,8-N1SLQ4-3(SDH-3)
f-1,STM-4,223-灵州换流站,11-N1SLQ4-3(SDH-3),138-黎阳电厂,12-N1SLQ4-1(SDH-1)
f-10,STM-16,国网诺西      Hit7065,16-SL16-1(SDH-1),拉萨换诺西HIT7065,16-SL16-1(SDH-1)
f-9,STM-16,蒲河（东北华为）,4-SL16-1(SDH-1),3-蒲河,4-S16-1(SDH-1)
f-10,STM-16,506-绥德变1,13-N1SF16E-1(SDH-1),508-王家峪变1,14-N1SF16E-1(SDH-1)
f-8,STM-16,510-洹安变1,6-N1SF16E-1(SDH-1),508-王家峪变1,6-N1SF16E-1(SDH-1)
f-9,STM-16,510-洹安变1,13-N1SF16E-1(SDH-1),508-王家峪变1,13-N1SF16E-1(SDH-1)
f-7,STM-16,506-绥德变1,6-N1SF16E-1(SDH-1),508-王家峪变1,5-N1SF16E-1(SDH-1)
f-5,STM-16,504-统万变1,6-N3SL16-1(SDH-1),506-绥德变1,5-N3SL16-1(SDH-1)
f-6,STM-16,504-统万变1,13-N3SL16-1(SDH-1),506-绥德变1,14-N3SL16-1(SDH-1)
f-4,STM-16,501-上海庙换1,12-N1SF16E-1(SDH-1),504-统万变1,14-N1SF16E-1(SDH-1)
f-3,STM-16,501-上海庙换1,7-N1SF16E-1(SDH-1),504-统万变1,5-N1SF16E-1(SDH-1)
f-1,STM-16,501-上海庙换1,13-N4SLQ16-1(SDH-1),502-上海庙换2,7-N4SLQ16-1(SDH-1)
f-7,STM-16,3-蒲河,11-S16-1(SDH-1),蒲河（东北华为）,5-SL16-1(SDH-1)
f-8,STM-16,510-洹安变1,14-N4SLQ16-1(SDH-1),26-豫洹安,14-N2SL16-1(SDH-1)
