泵浦激光器工作电流当前值(mA),Current Value Of Pump Laser Working Current(mA)
复用段远端误码秒(s),Multiplex Section Far End Errored Second(s)
激光器制冷电流平均值(mA),Average Value Of Laser Cooling Current(mA)
VC3通道背景块误码,VC3 Path Block Of Background Error
高阶通道背景块误码(block),Higher Order Path Block Of Background Error(block)
VC3通道误码秒(s),VC3-Path Errored Second(s)
FEC不能纠正的帧计数,FEC-Uncorrected Block Count
高阶通道远端背景块误码(block),Higher Order Path Far End Block Of Background Error(block)
高阶通道不可用秒(s),Higher Order Path Unavailable Second(s)
复用段背景块误码(block),Multiplex Section Background Block Error(block)
泵浦激光器制冷电流当前值(mA),Current Value Of Pump Laser Cooling Current(mA)
低阶通道误码秒(s),Lower-Order Path Errored Second(s)
激光器工作温度当前值(℃),Current Value Of Laser Working Temperature(℃)
高阶通道误码秒(s),Higher-Order Path Errored Second(s)
复用段严重误码秒(s),Multiplex Section Severely Errored Second(s)
输入光功率最大值(dBm),Maximum Value Of Input Optical Power(dBm)
FEC纠错前的误码率,Bit Error Rate Before FES Correction
再生段严重误码秒(s),Regenerator Section Severely Errored Second(s)
TU新指针计数(time),Count Of New Tu Pointer(time)
再生段帧失步秒(s),Regenerator Section Out-Of-Frame Second(s)
复用段远端严重误码秒(s),Multiplex Section Far End Severely Errored Second(s)
再生段背景块误码(block),Regenerator Section Block Of Background Error(block)
复用段误码秒(s),Multiplex Section Errored Second(s)
复用段不可用秒(s),Multiplex Section Unavailable Second(s)
FEC纠正的1bit计数,Fec Corrected 1 Bit Count
泵浦激光器工作电流设置当前值(mA),Current Value Of Pump Laser Working Current Setting(mA)
高阶通道远端严重误码秒(s),Higher Order Path Far End Severely Errored Second(s)
E1线路侧编码违规误码秒(s),E1 Line Side Code Violation Error Second(s)
FEC纠正的0bit计数,FEC Corrected 0 Bit Count
环境温度当前值(℃),Current Value Of Environment Temperature(℃)
复用段远端不可用秒(s),Multiplex Section Far End Unavailable Second(s)
单板温度当前值(℃),Current Value Of Board Temperature(℃)
VC3误码秒(s),VC3-Errored Second(s)
FEC纠错后的误码率,Bit Error Rate After FEC Correction
VC3远端严重误码秒(s),VC3 Far End Severely Errored Second(s)
激光器温度当前值(℃),Current Value Of Laser Temperature(℃)
再生段误码秒(s),Regenerator Section Errored Second(s)
复用段远端背景块误码(block),Multiplex Section Far End Block Of Background Error(block)
高阶通道严重误码秒(s),Higher Order Path Severely Errored Second(s)
CPU使用率当前值(%),Current Value Of CPU Usage(%)
VC3不可用秒(s),VC3 Unavailable Second(s)
低阶通道远端背景块误码(block),Lower Order Path Far End Block Of Background Error(block)
高阶通道远端误码秒(s),Higher Order Path Far End Errored Second(s)
低阶通道背景块误码(block),Lower Order Path Block Of Background Error(block)
输出光功率当前值(dBm),Current Value Of Output Optical Power(dBm)
激光器偏置电流当前值(mA),Current Value Of Laser Bias Current(mA)
内存使用率当前值(%),Current Value Of Memory Usage
VC3通道远端背景块误码,VC3 Path Far End Block Of Background Error
TU指针正调整计数(time),Count Of Positive Tu Pointer Justifications(time)
VC3通道远端误码秒(s),VC3 Path Far End Errored Second(s)
AU指针负调整计数(block),Count Of Negative Au Pointer Justifications(block)
E1线路侧编码违规统计(time),Count Of E1 Line Side Code Violations(time)
泵浦激光器背光检测电流当前值(uA),Current Value Of Pump Laser Back Facet Current(uA)
VC3严重误码秒(s),VC3 Severely Errored Second(s)
低阶通道严重误码秒(s),Lower Order Path Severely Errored Second(s)
低阶通道远端误码秒(s),Lower Order Path Far End Errored Second(s)
E1线路侧信号丢失秒(s),Count Of E1 Line Loss-Of-Signal Seconds(s)
低阶通道远端严重误码秒(s),Lower Order Path Far End Severely Errored Second(s)
输入光功率当前值(dBm),Current Value Of Input Optical Power(dBm)
VC3远端误码秒(s),VC3 Far End Errored Second(s)
E1线路侧编码违规严重误码秒(s),E1 Line Side Code Violation Severely Errored Second(s)
FEC纠正的字节计数,FEC Corrected Byte Count
输入电压当前值(V),Current Value Of Input Voltage(V)
低阶通道不可用秒(s),Lower Order Path Unavailable Second(s)
TU指针负调整计数(time),Count Of Negative Tu Pointer Justifications(time)
AU指针新计数(block),Count Of New AU Pointer(block)
高阶通道远端不可用秒(s),Higher Order Path Far End Consecutive Severely Errored Second(s)
低阶通道远端不可用秒(s),Lower Order Path Far End Consecutive Severely Errored Second(s)
AU指针正调整计数(block),Count Of Positive Au Pointer Justifications(block)
再生段不可用秒(s),Regenerator Section Unavailable Second(s)
