name,type,id,fiber_num,subnet,gateway
高台,虚拟网元,255-111,3,沈长哈,--
飞华Metro1000,虚拟网元,255-10111,1,京汉10G+宾金+昭沂,--
鞍山(中兴),虚拟网元,255-66,2,沈长哈,--
鄂斗笠（西门子）,虚拟网元,255-1,2,京汉10G+宾金+昭沂,--
郑州变,虚拟网元,255-2000,4,京汉10G+宾金+昭沂,--
自动化路由器,虚拟网元,255-22,3,京汉10G+宾金+昭沂,--
烽火,虚拟网元,255-88,1,京汉10G+宾金+昭沂,--
湖北省调（西门子）,虚拟网元,255-5,1,京汉10G+宾金+昭沂,--
湖北省调OSN7500,虚拟网元,255-37,1,京汉10G+宾金+昭沂,--
湖北(华为),虚拟网元,255-54,1,京汉10G+宾金+昭沂,--
河北（华为）,虚拟网元,255-55,4,京汉10G+宾金+昭沂,--
河北ECI,虚拟网元,255-2,1,京汉10G+宾金+昭沂,--
嵩山XDM500,虚拟网元,255-19,4,京汉10G+宾金+昭沂,--
孝感（西门子）,虚拟网元,255-50,1,京汉10G+宾金+昭沂,--
备调（ECI10G-I2-1),虚拟网元,255-8,1,京汉10G+宾金+昭沂,--
备调Siemens103-2,虚拟网元,255-9,1,京汉10G+宾金+昭沂,--
已退运-国调Siemens,虚拟网元,255-20,1,京汉10G+宾金+昭沂,--
华北NEC WBM,虚拟网元,255-13,1,京汉10G+宾金+昭沂,--
华北NEC,虚拟网元,255-30,1,京汉10G+宾金+昭沂,--
华北Mar,虚拟网元,255-31,3,京汉10G+宾金+昭沂,--
华中网调Siemens,虚拟网元,255-10,1,京汉10G+宾金+昭沂,--
华中网调Marconi2.5G,虚拟网元,255-11,1,京汉10G+宾金+昭沂,--
华中网调Marconi 10G,虚拟网元,255-14,1,京汉10G+宾金+昭沂,--
华中Marconi2.5G,虚拟网元,255-12,1,京汉10G+宾金+昭沂,--
北张-Mar,虚拟网元,255-41,1,京汉10G+宾金+昭沂,--
凤凰山西门子、马可尼、阿尔卡特,虚拟网元,255-21,3,京汉10G+宾金+昭沂,--
中兴,虚拟网元,255-25,2,京汉10G+宾金+昭沂,--
FH-Metro5000,虚拟网元,255-16,3,京汉10G+宾金+昭沂,--
白银Alcatel(兰银呼京),虚拟网元,255-10112,3,青藏+天中,--
