高台,GaoTai
飞华Metro1000,FeiHua-Metro1000
鞍山(中兴),AnShan(ZhongXing)
鄂斗笠（西门子）,EDouLi(Siemens)
郑州变,ZhengZhouBian
自动化路由器,AutomationRouter
烽火,FengHuo
湖北省调（西门子）,HuBeiShengDiao(Siemens)
湖北省调OSN7500,HuBeiShengDiao-OSN7500
湖北(华为),HuBei(HuaWei)
河北（华为）,HeBei(HuaWei)
河北ECI,HeBei-ECI
嵩山XDM500,SongShan-XDM500
孝感（西门子）,XiaoGan(Siemens)
备调（ECI10G-I2-1),BeiDiao(ECI10G-I2-1)
备调Siemens103-2,BeiDiao-Siemens103-2
已退运-国调Siemens,YiTuiYun-GuoDiao-Siemens
华北NEC WBM,HuaBei-NEC WBM
华北NEC,HuaBei-NEC
华北Mar,HuaBei-Mar
华中网调Siemens,HuaZhongWangDiao-Siemens
华中网调Marconi2.5G,HuaZhongWangDiao-Marconi2.5G
华中网调Marconi 10G,HuaZhongWangDiao-Marconi 10G
华中Marconi2.5G,HuaZhong-Marconi2.5G
北张-Mar,BeiZhang-Mar
凤凰山西门子、马可尼、阿尔卡特,FengHuangShanSiemens、Marconi、Alcatel
中兴,ZhongXing
FH-Metro5000,FH-Metro5000
白银Alcatel(兰银呼京),BaiYinAlcatel(LanYinHuJing)
西北华为,XiBeiHuaWei
西宁变（西北华为）,XiNingBian(XiBeiHuaWei)
区调诺西HIT7065,QuDiaoNokiaSiemensNetworks-HIT7065
拉萨换诺西HIT7065,LaSaHuanNokiaSiemensNetworks-HIT7065
拉萨换（三级网中兴S385）,LaSaHuan(SanJiWangZhongXing-S385)
西藏区调三级网中兴385,XiZangQuDiaoSanJiWangZhongXing-385
安多中兴330,AnDuoZhongXing-330
青海华为（OSN3500）,QingHaiHuaWei(OSN3500)
国网诺西      Hit7065,GuoWangNokiaSiemensNetworks-Hit7065
石北Marconi,ShiBei-Marconi
FH-黑省调,FH-HeiShengDiao
斗笠ECI－1,DouLiECI－1
阿尔卡特,Alcatel
甘肃ALCATEL,GanSu-ALCATEL
FH-辽宁Metro1000,FH-LiaoNing-Metro1000
平圩电厂(二期）    Metro1000（安徽）,PingWeiDianChang(ErQi) Metro1000(AnHui)
袁庄电厂       Metro1000,YuanZhuangDianChang Metro1000
淮南中兴S385,HuaiNanZhongXing-S385
肥西中兴S385,FeiXiZhongXing-S385
芜湖中兴S385,WuHuZhongXing-S385
皖电中兴S385,WanDianZhongXing-S385
莲塘中兴S385,LianTangZhongXing-S385
马可尼1664,Marconi-1664
哈密南换-西北网OSN3500,HaMiNanHuan-XiBeiWang-OSN3500
哈密南换-省网S385,HaMiNanHuan-ShengWang-S385
华中网1664,HuaZhongWang-1664
